BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_PER_BED,PRICE_PER_PROPERTYSQFT
Brokered by COMPASS,Townhouse for sale,1999000,5,4.0,3000.0,Kings County,40.6735597,-74.0004525,399800.0,666.3333333333334
Brokered by Morris Park Realty Group,Multi-family home for sale,1215000,13,7.0,5250.0,Bronx County,40.823763,-73.8695469,93461.53846153847,231.42857142857142
Brokered by RE MAX Real Estate Professionals,House for sale,1250000,3,2.0,2110.0,Kings County,40.5866351,-73.9436164,416666.6666666667,592.4170616113744
Brokered by COMPASS,Townhouse for sale,9000000,5,4.0,17860.0,Kings County,40.7113609,-73.9608466,1800000.0,503.91937290033593
Brokered by COMPASS,Co-op for sale,575000,3,2.0,1350.0,Queens,40.7313424,-73.8489073,191666.66666666666,425.9259259259259
Brokered by Serhant,Townhouse for sale,19995000,11,11.0,11110.0,New York County,40.7221603,-74.0078633,1817727.2727272727,1799.7299729972997
Brokered by Brown Harris Stevens,Co-op for sale,399000,1,1.0,2184.207862,New York,40.7763285,-73.9475088,399000.0,182.67492162337064
Brokered by COMPASS,Townhouse for sale,12995000,5,4.0,4100.0,New York County,40.7358634,-74.0022086,2599000.0,3169.512195121951
"Brokered by Robert Defalco Realty, Inc.",Pending,1245000,4,3.0,2388.0,New York,40.5771597,-74.123973,311250.0,521.356783919598
Brokered by Winzone Realty Inc,Condo for sale,798000,2,2.0,1190.0,Queens,40.7885879,-73.7872455,399000.0,670.5882352941177
Brokered by EXIT REALTY PRIVATE CLIENT,House for sale,475000,5,2.0,1790.0,Bronx County,40.8102903,-73.8573667,95000.0,265.3631284916201
Brokered by EXIT ALL SEASONS REALTY,Condo for sale,399000,1,1.0,616.0,Queens,40.7301358,-73.871999,399000.0,647.7272727272727
Brokered by Home Global Realty,House for sale,780000,3,3.0,1344.0,Queens County,40.6891418,-73.8510191,260000.0,580.3571428571429
Brokered by Ben Bay Realty Company of Staten Island LLC,Condo for sale,450000,1,1.0,776.0,Staten Island,40.6403656,-74.0737574,450000.0,579.8969072164948
Brokered by CENTURY 21 Milestone Realty,Multi-family home for sale,889000,6,3.0,2184.207862,Queens County,40.6736135,-73.8061338,148166.66666666666,407.0125446696153
Brokered by The Agency,Townhouse for sale,6900000,10,10.0,6060.0,New York County,40.7912137,-73.9671974,690000.0,1138.6138613861385
"Brokered by Ed Bruno Realty, LLC",House for sale,765000,3,4.0,1888.0,Richmond County,40.6311627,-74.1422028,255000.0,405.1906779661017
Brokered by Daniel Gale Sotheby's International Realty,Co-op for sale,399000,3,2.0,1492.0,Queens,40.7812699,-73.78434,133000.0,267.42627345844505
Brokered by Bond New York- Columbus Circle,Co-op for sale,585000,1,1.0,2184.207862,New York,40.7836953,-73.9760584,585000.0,267.83165200419006
Brokered by Bond New York- Columbus Circle,Co-op for sale,585000,1,1.0,2184.207862,New York,40.7836953,-73.9760584,585000.0,267.83165200419006
Brokered by Campione Realty,Multi-family home for sale,1450000,12,6.0,2184.207862,Queens County,40.7030602,-73.8898385,120833.33333333333,663.8562314633771
Brokered by EXIT REALTY TOP PROPERTIES,Multi-family home for sale,1388888,6,3.0,2160.0,Kings County,40.5920325,-73.9491964,231481.33333333334,643.0037037037036
Brokered by Hayliam Realty LLC,Multi-family home for sale,779000,4,2.0,2184.207862,Queens County,40.6847739,-73.8261116,194750.0,356.6510374551522
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,395000,3,1.0,2184.207862,New York,40.7758661,-73.981473,131666.66666666666,180.84359408829926
Brokered by RE MAX Edge,House for sale,948000,4,2.0,1492.0,Kings County,40.6090003,-74.0081041,237000.0,635.3887399463807
Brokered by E Realty International Corp,Condo for sale,550000,1,1.0,720.0,Queens,40.7392191,-73.874525,550000.0,763.8888888888889
Brokered by Keller Williams NYC,Co-op for sale,549999,3,1.0,1020.0,Queens,40.7517899,-73.88467,183333.0,539.214705882353
Brokered by Skylight Real Estate Consultan,Multi-family home for sale,950000,6,3.0,2184.207862,Kings County,40.6489264,-73.9197127,158333.33333333334,434.9402895794539
Brokered by COMPASS,Townhouse for sale,2295000,5,4.0,4043.0,Kings County,40.6812265,-73.9337663,459000.0,567.647786297304
Brokered by John Savoretti Realty,Multi-family home for sale,799000,6,4.0,2200.0,Queens County,40.598207,-73.7911759,133166.66666666666,363.1818181818182
Brokered by Re/Max In The City,Condo for sale,290900,2,1.0,850.0,The Bronx,40.9058413,-73.8981827,145450.0,342.2352941176471
Brokered by Re/Max In The City,Condo for sale,474900,2,2.0,1054.0,The Bronx,40.8847442,-73.9132482,237450.0,450.56925996204933
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,365000,1,1.0,2184.207862,New York,40.7187352,-73.9847294,365000.0,167.10863757526388
Brokered by TREBACH REALTY INC,Co-op for sale,199000,1,1.0,2184.207862,The Bronx,40.8789773,-73.916004,199000.0,91.10854486980139
Brokered by Serhant,Condo for sale,7995000,3,4.0,2789.0,Brooklyn,40.692916,-74.0008815,2665000.0,2866.6188598063823
Brokered by Coldwell Banker Reliable,Condo for sale,480000,1,1.0,506.0,Brooklyn,40.6098786,-73.9536851,480000.0,948.6166007905139
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,1450000,2,1.0,2184.207862,New York County,40.7355671,-74.0044939,725000.0,663.8562314633771
Brokered by Winzone Realty Inc,House for sale,695000,3,2.0,2184.207862,Queens County,40.6950378,-73.8602956,231666.66666666666,318.19315921865314
Brokered by Arc Realty Llc,House for sale,1249000,3,4.0,2400.0,Bronx County,40.8533232,-73.8509691,416333.3333333333,520.4166666666666
Brokered by Fave Realty Inc,House for sale,635000,3,2.0,1200.0,Kings County,40.6322163,-73.894288,211666.66666666666,529.1666666666666
Brokered by COMPASS,House for sale,1759000,3,2.3738608579684373,2100.0,Brooklyn,40.643712,-73.976793,586333.3333333334,837.6190476190476
Brokered by TDMT - The Development Marketing Team,Co-op for sale,499000,2,1.0,2184.207862,Brooklyn,40.7109875,-73.9577649,249500.0,228.45811000015527
Brokered by Geo Real Estate Group Inc,Multi-family home for sale,999000,3,6.0,2184.207862,Kings County,40.661217,-73.9412284,333000.0,457.37405188407837
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,17995000,6,7.0,8068.0,New York County,40.7871816,-73.96924,2999166.6666666665,2230.4164600892414
Brokered by COMPASS,Townhouse for sale,2175000,5,2.3738608579684373,3317.0,Kings County,40.6920744,-73.912766,435000.0,655.712993668978
Brokered by Brown Harris Stevens - 43 North Moore Street,Co-op for sale,639000,3,2.0,2184.207862,Queens County,40.7447145,-73.8835344,213000.0,292.55457372765375
Brokered by Geo Real Estate Group Inc,Multi-family home for sale,999000,3,6.0,2184.207862,Kings County,40.661217,-73.9412284,333000.0,457.37405188407837
Brokered by Corcoran Brooklyn Heights,Co-op for sale,1099000,2,1.0,2184.207862,Brooklyn,40.6876421,-73.9721671,549500.0,503.157240260863
Brokered by Ashford Homes,Condo for sale,318000,1,1.0,638.0,Richmond County,40.5698778,-74.1224355,318000.0,498.43260188087777
Brokered by COMPASS,Co-op for sale,475000,3,1.0,2184.207862,New York,40.7383084,-74.0046097,158333.33333333334,217.47014478972696
Brokered by Elite Real Estate Group 1 Llc,Multi-family home for sale,875000,4,2.0,2034.0,Bronx County,40.8664714,-73.845984,218750.0,430.1868239921337
Brokered by Wonica REALTORS & Appraisers,Multi-family home for sale,739900,4,2.0,2000.0,Richmond County,40.6066581,-74.1639294,184975.0,369.95
Brokered by EXP Realty,Co-op for sale,409000,2,1.0,2184.207862,Queens,40.7236399,-73.84481,204500.0,187.2532404610491
Brokered by Keller Williams Realty Group,Condo for sale,275000,2,2.0,969.0,Brooklyn,40.6280579,-73.9171101,137500.0,283.79772961816303
Brokered by Elite Realty of USA Inc,Multi-family home for sale,989000,4,4.0,2184.207862,Queens County,40.6751744,-73.8037556,247250.0,452.7957330463999
Brokered by COMPASS,Townhouse for sale,1750000,9,8.0,5000.0,Kings County,40.7162658,-73.94726,194444.44444444444,350.0
Brokered by COMPASS,Co-op for sale,285000,3,1.0,2184.207862,New York,40.7489931,-73.97025,95000.0,130.48208687383618
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,12495000,4,2.0,7825.0,New York County,40.7780321,-73.9574506,3123750.0,1596.8051118210863
"Brokered by JOHN A MAGUIRE REAL ESTATE, LL",Pending,695000,2,2.0,1200.0,Brooklyn,40.6249201,-74.0404698,347500.0,579.1666666666666
Brokered by COMPASS,Townhouse for sale,3450000,6,4.0,4400.0,New York County,40.8177498,-73.9430199,575000.0,784.0909090909091
Brokered by Realty Executives Metro Garden,Co-op for sale,435000,2,1.0,925.0,Queens County,40.7232542,-73.8576166,217500.0,470.27027027027026
Brokered by Corcoran Westside Columbus,Co-op for sale,220000,2,1.0,922.0,The Bronx,40.8758111,-73.8765929,110000.0,238.6117136659436
Brokered by The Bouklis Group - The Bouklis Group Astoria,House for sale,1988800,3,4.0,2071.0,New York,40.7400544,-73.9903941,662933.3333333334,960.3090294543699
Brokered by Douglas Elliman - 690 Washington,Co-op for sale,3300000,2,2.0,2184.207862,New York,40.769433,-73.9683331,1650000.0,1510.8452164338926
Brokered by qvtopservice,Co-op for sale,135000,1,1.0,792.0,Queens,40.6030799,-73.74755,135000.0,170.45454545454547
Brokered by E Realty International Corp,Co-op for sale,468000,2,1.0,1200.0,Queens,40.7455899,-73.8778899,234000.0,390.0
Brokered by Serhant,Townhouse for sale,5999999,4,4.0,4375.0,New York County,40.7665309,-73.9594908,1499999.75,1371.4283428571428
Brokered by Realty Connect USA LLC,Co-op for sale,318000,1,1.0,748.0,Queens,40.7604949,-73.7815883,318000.0,425.1336898395722
Brokered by The Bouklis Group - The Bouklis Group,Condo for sale,649000,2,1.0,705.0,Queens,40.7715328,-73.9273805,324500.0,920.5673758865248
"Brokered by JOHN A MAGUIRE REAL ESTATE, LL",House for sale,1875000,3,2.0,1496.0,Kings County,40.6246037,-74.0368286,625000.0,1253.3422459893047
Brokered by Madison Estates Sotheby's International Realty,House for sale,1350000,3,2.0,1584.0,Kings County,40.6096678,-73.9511136,450000.0,852.2727272727273
Brokered by Corcoran SoHo,Co-op for sale,3345000,4,4.0,3000.0,New York,40.7875112,-73.9739349,836250.0,1115.0
Brokered by BHHS New York Properties,Co-op for sale,899000,1,2.0,2184.207862,New York,40.7926602,-73.9663357,899000.0,411.59086350729376
Brokered by Opulence Properties,House for sale,799000,3,2.0,1816.0,Richmond County,40.5557686,-74.1327357,266333.3333333333,439.9779735682819
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,5000000,3,3.0,2162.0,New York,40.749728,-73.978916,1666666.6666666667,2312.673450508788
Brokered by RE MAX Edge,Pending,464998,2,2.0,1657.0,Brooklyn,40.5855624,-73.9669734,232499.0,280.62643331321664
Brokered by Serhant,Condo for sale,5250000,3,3.0,1757.0,New York County,40.725653,-73.987132,1750000.0,2988.0478087649403
Brokered by Corcoran East Side,Co-op for sale,1995000,2,2.0,1200.0,New York,40.773416,-73.979787,997500.0,1662.5
Brokered by Howard Hanna | Rand Realty,Condo for sale,504000,3,2.0,1004.0,The Bronx,40.8688161,-73.8356153,168000.0,501.99203187251
Brokered by Douglas Elliman - 140 Franklin,Co-op for sale,1295000,2,1.0,2184.207862,New York,40.7359888,-74.0091474,647500.0,592.8922894793609
Brokered by Corcoran East Side,Co-op for sale,1995000,2,2.0,1200.0,New York,40.773416,-73.979787,997500.0,1662.5
Brokered by RE MAX Edge,Pending,464998,2,2.0,1657.0,Brooklyn,40.5855624,-73.9669734,232499.0,280.62643331321664
Brokered by Serhant,Condo for sale,5250000,3,3.0,1757.0,New York County,40.725653,-73.987132,1750000.0,2988.0478087649403
Brokered by Momentum Real Estate Llc,Pending,699000,3,2.0,864.0,Richmond County,40.5594124,-74.1258541,233000.0,809.0277777777778
Brokered by Motivated Access Realty Corp.,Multi-family home for sale,949000,7,3.0,2745.0,Bronx County,40.8136198,-73.8633277,135571.42857142858,345.71948998178505
Brokered by Ben Bay Rlty Of Marine Pk Llc,Pending,1488000,2,2.0,1464.0,Kings County,40.6171732,-74.0169489,744000.0,1016.3934426229508
Brokered by All Star Real Estate,Foreclosure,800000,5,2.3738608579684373,1584.0,Richmond County,40.6375111,-74.0852471,160000.0,505.050505050505
Brokered by BRISMAN REALTY,Co-op for sale,319999,1,1.0,660.0,Brooklyn,40.6077014,-73.958782,319999.0,484.8469696969697
Brokered by RE MAX Edge,Condo for sale,999000,3,2.0,1301.0,Brooklyn,40.6116529,-73.978693,333000.0,767.8708685626441
Brokered by Showcase Realty Inc,Co-op for sale,475000,1,1.0,950.0,Queens,40.75054,-73.8885096,475000.0,500.0
Brokered by Serhant,Co-op for sale,399000,3,1.0,2184.207862,New York,40.7738633,-73.9465735,133000.0,182.67492162337064
Brokered by Top Nest Inc,House for sale,479900,3,2.0,1088.0,Kings County,40.6567481,-73.8802564,159966.66666666666,441.0845588235294
Brokered by Homefinders of SI Inc.,Condo for sale,615000,2,4.0,1568.0,Richmond County,40.577069,-74.161888,307500.0,392.21938775510205
Brokered by RE MAX Real Estate Professionals,House for sale,1150000,3,2.0,1700.0,Kings County,40.6092336,-73.9930917,383333.3333333333,676.4705882352941
"Brokered by Century 21 Amiable Realty Group II, Inc.",Co-op for sale,225000,1,1.0,2184.207862,Queens,40.6685699,-73.8471189,225000.0,103.0121738477654
Brokered by RE/MAX City Square,Co-op for sale,284888,1,1.0,2184.207862,Queens,40.748924,-73.8857529,284888.0,130.43080970285416
Brokered by E Realty International Corp,Condo for sale,585000,1,2.0,869.0,Queens County,40.7317078,-73.856834,585000.0,673.1875719217492
"Brokered by Brooklyn Real Property, Inc",House for sale,720000,4,2.0,936.0,Kings County,40.6404818,-73.8915337,180000.0,769.2307692307693
Brokered by RE MAX Real Estate Professionals,House for sale,659000,3,2.0,1468.0,Richmond County,40.4997983,-74.2411663,219666.66666666666,448.9100817438692
Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op for sale,249000,2,1.0,900.0,The Bronx,40.9035132,-73.9002037,124500.0,276.6666666666667
Brokered by Corcoran East Side,Co-op for sale,1495000,3,2.0,1650.0,New York,40.7958454,-73.9702391,498333.3333333333,906.060606060606
Brokered by Magic Of Great Neck Realty Inc,Co-op for sale,295000,1,2.0,980.0,Queens,40.7577991,-73.7159564,295000.0,301.0204081632653
Brokered by Bergen Basin Realty Llc,Pending,699000,4,4.0,1619.0,Kings County,40.6376197,-73.898975,174750.0,431.74799258801727
Brokered by E Realty International Corp,House for sale,738000,4,2.0,2184.207862,Queens County,40.7506139,-73.851888,184500.0,337.87993022067053
Brokered by Douglas Elliman - Central Nassau,Pending,400000,2,1.0,2184.207862,Brooklyn,40.684191,-73.982522,200000.0,183.1327535071385
Brokered by GOLDEN REAL CORP.,Co-op for sale,289000,1,1.0,750.0,Brooklyn,40.5764319,-73.9643613,289000.0,385.3333333333333
Brokered by R Jaundoo Realty Llc,Co-op for sale,187000,4,1.0,1076.0,The Bronx,40.8224272,-73.8900397,46750.0,173.79182156133828
Brokered by COMPASS,Townhouse for sale,3500000,8,7.0,4952.0,New York County,40.8239685,-73.9470302,437500.0,706.7851373182552
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,4995000,6,6.0,4000.0,New York County,40.74338,-73.9787014,832500.0,1248.75
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,3400000,3,3.0,2184.207862,New York,40.7727705,-73.9787651,1133333.3333333333,1556.6284048106772
Brokered by All Area Brokerage Inc,Co-op for sale,155000,1,1.0,2184.207862,Queens,40.7104509,-73.7982064,155000.0,70.96394198401616
Brokered by One Manhattan real estate - Upper East Side office,Co-op for sale,689000,3,2.0,1500.0,Queens,40.7563916,-73.9071359,229666.66666666666,459.3333333333333
Brokered by R New York,Townhouse for sale,2150000,5,3.0,2940.0,Kings County,40.6588649,-73.956073,430000.0,731.2925170068028
Brokered by Brown Harris Stevens - 1926 Broadway,Co-op for sale,675000,3,1.0,2184.207862,New York,40.8667064,-73.9304963,225000.0,309.0365215432962
"Brokered by Robert Defalco Realty, Inc.",House for sale,889000,3,2.0,2052.0,Richmond County,40.5312573,-74.157737,296333.3333333333,433.23586744639374
Brokered by RE MAX City Square,Co-op for sale,260000,1,1.0,800.0,Brooklyn,40.5892251,-73.94999,260000.0,325.0
Brokered by COMPASS,Condo for sale,4200000,3,3.0,2584.0,New York,40.7142326,-74.0075258,1400000.0,1625.3869969040247
Brokered by COMPASS,Condo for sale,749000,1,2.0,908.0,Queens,40.7190009,-73.8365029,749000.0,824.8898678414097
"Brokered by Neuhaus Realty, Inc.",Contingent,639000,3,2.0,1360.0,Richmond County,40.5557386,-74.1635281,213000.0,469.8529411764706
Brokered by CENTURY 21 Achievers,Multi-family home for sale,799000,5,2.0,2184.207862,Kings County,40.6437284,-73.9543625,159800.0,365.80767513050915
Brokered by Corcoran Park Slope,Condo for sale,700000,3,2.0,1245.0,The Bronx,40.8861342,-73.90767,233333.33333333334,562.2489959839357
Brokered by RE/MAX Elite,Condo for sale,297000,3,1.0,600.0,Brooklyn,40.5756277,-73.9667833,99000.0,495.0
"Brokered by Nest Seekers International, Tribeca",Co-op for sale,455000,1,1.0,725.0,New York,40.7760324,-73.9487922,455000.0,627.5862068965517
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,6500000,3,4.0,2190.0,New York,40.746995,-73.989381,2166666.6666666665,2968.036529680365
Brokered by Elegran Real Estate And Development,Townhouse for sale,1299000,11,8.0,4560.0,Bronx County,40.8512668,-73.8314532,118090.90909090909,284.86842105263156
Brokered by Nareema Baksh Real Estate,Multi-family home for sale,1279000,16,8.0,3550.0,Bronx County,40.8282675,-73.9014729,79937.5,360.28169014084506
Brokered by Oxford Property Group,Pending,799000,3,1.0,1200.0,New York,40.7856899,-73.976047,266333.3333333333,665.8333333333334
Brokered by Azbel Real Estate Inc,Co-op for sale,475000,2,2.0,1150.0,Brooklyn,40.5794182,-73.9709078,237500.0,413.04347826086956
Brokered by COMPASS,Co-op for sale,209000,1,1.0,2184.207862,Brooklyn,40.6456538,-73.9636266,209000.0,95.68686370747986
Brokered by Coldwell Banker Labarca,House for sale,1325000,4,3.0,2200.0,Kings County,40.618445,-73.9043606,331250.0,602.2727272727273
Brokered by RE MAX Elite,Co-op for sale,259000,1,1.0,625.0,Brooklyn,40.6147332,-74.0337807,259000.0,414.4
Brokered by Serhant,Townhouse for sale,899000,4,3.0,1960.0,Queens County,40.727846,-73.720774,224750.0,458.6734693877551
Brokered by New York 1 Homes Network Inc,Multi-family home for sale,1325000,6,5.0,2184.207862,Queens County,40.6727654,-73.7902788,220833.33333333334,606.6272459923963
Brokered by Gilbert Perez,Co-op for sale,345000,3,2.0,1100.0,The Bronx,40.908552,-73.896916,115000.0,313.6363636363636
Brokered by Carollo Real Estate Inc,Condo for sale,1088000,4,2.0,2184.207862,Queens,40.7932921,-73.7951779,272000.0,498.1210895394167
"Brokered by Tom Crimmins Realty, Ltd.",House for sale,669000,3,2.0,2191.0,Richmond County,40.6136236,-74.1305336,223000.0,305.34002738475584
"Brokered by Compass Greater Ny, Llc",Multi-family home for sale,1388000,3,2.0,2520.0,Kings County,40.620978,-73.957202,462666.6666666667,550.7936507936508
Brokered by Trademarko Realty Inc,House for sale,1475000,5,3.0,2637.0,Queens County,40.7291232,-73.9042682,295000.0,559.3477436480849
Brokered by Carollo Real Estate Inc,Condo for sale,1088000,4,2.0,2184.207862,Queens,40.7932921,-73.7951779,272000.0,498.1210895394167
Brokered by Corcoran East Side,Condo for sale,1375000,2,2.0,2184.207862,New York County,40.7791814,-73.9472929,687500.0,629.5188401807885
Brokered by My Home Advisors Llc,House for sale,1099000,3,4.0,2037.0,Kings County,40.621735,-73.941847,366333.3333333333,539.5189003436426
Brokered by Brown Harris Stevens - 129 Montague Street,Townhouse for sale,25000000,3,2.3738608579684373,2184.207862,Kings County,40.6975406,-73.9938611,8333333.333333333,11445.797094196156
Brokered by Brown Harris Stevens,Townhouse for sale,900000,4,3.0,2184.207862,Bronx County,40.9083747,-73.8985781,225000.0,412.0486953910616
Brokered by Hauseit LLC - Hauseit LLC,Co-op for sale,599000,2,2.0,1350.0,New York,40.7868163,-73.9557515,299500.0,443.7037037037037
Brokered by COMPASS,Co-op for sale,1295000,2,2.0,2184.207862,New York,40.774576,-73.9624413,647500.0,592.8922894793609
Brokered by Manhattan Network Inc,Condo for sale,479900,1,1.0,550.0,New York,40.7934089,-73.9407833,479900.0,872.5454545454545
Brokered by Corcoran SoHo,House for sale,4200000,3,1.0,2560.0,New York County,40.7300715,-73.9880189,1400000.0,1640.625
Brokered by Hometown Properties,Co-op for sale,188000,3,1.0,300.0,Brooklyn,40.6327714,-74.022251,62666.666666666664,626.6666666666666
Brokered by Manhattan Network Inc,Condo for sale,479900,1,1.0,550.0,New York,40.7934089,-73.9407833,479900.0,872.5454545454545
Brokered by COMPASS,Co-op for sale,1295000,2,2.0,2184.207862,New York,40.774576,-73.9624413,647500.0,592.8922894793609
Brokered by American Homes Group,House for sale,739999,4,2.0,1976.0,Richmond County,40.6021404,-74.0713152,184999.75,374.49342105263156
Brokered by DiTommaso Real Estate,Foreclosure,475000,3,2.0,1204.0,Richmond County,40.615479,-74.079293,158333.33333333334,394.51827242524917
Brokered by RE MAX Edge,House for sale,2250000,6,4.0,3432.0,Kings County,40.5884214,-73.9412863,375000.0,655.5944055944055
"Brokered by BEN BAY REALTY, CO.",Condo for sale,875000,2,2.0,1050.0,Brooklyn,40.6165537,-74.024429,437500.0,833.3333333333334
Brokered by ProBase Real Estate,House for sale,499000,3,2.0,1786.0,Richmond County,40.6178525,-74.0758856,166333.33333333334,279.3952967525196
Brokered by Akcess24homes Inc,House for sale,749000,4,2.0,2184.207862,Kings County,40.6771904,-73.8625697,187250.0,342.9160809421168
Brokered by COMPASS,Co-op for sale,4400000,3,3.0,3500.0,New York,40.7454222,-73.9925061,1466666.6666666667,1257.142857142857
Brokered by Weichert Realtors Evolution Group,House for sale,855000,3,2.0,1383.0,Richmond County,40.5725396,-74.1007568,285000.0,618.2212581344902
Brokered by Piastro Realty LLC,Co-op for sale,525000,2,1.0,1300.0,Brooklyn,40.5751942,-73.9669983,262500.0,403.84615384615387
Brokered by BERGEN BASIN REALTY,Condo for sale,715000,2,2.0,1021.0,Brooklyn,40.5846063,-73.9426052,357500.0,700.2938295788442
Brokered by Corcoran East Side,Townhouse for sale,7950000,4,4.0,2184.207862,New York County,40.7740082,-73.9583902,1987500.0,3639.7634759543776
Brokered by Gillani Homes Inc.,Contingent,550000,3,2.0,1424.0,Richmond County,40.6292321,-74.1082798,183333.33333333334,386.23595505617976
Brokered by Brown Harris Stevens,Condo for sale,17500000,7,4.0,6300.0,New York,40.7193658,-74.0072206,2500000.0,2777.777777777778
Brokered by Welhome Realty Inc,House for sale,1528000,4,2.0,2184.207862,Queens County,40.757398,-73.7979996,382000.0,699.567118397269
Brokered by E Realty International Corp,House for sale,1287777,5,2.0,2184.207862,Queens County,40.7257724,-73.8680711,257555.4,589.5853697829057
Brokered by Sowae Corp,House for sale,330000,3,1.0,2184.207862,Kings County,40.6604827,-73.9468571,110000.0,151.08452164338925
Brokered by Welcome Home R E Sunnyside,Co-op for sale,375000,1,1.0,2184.207862,Queens,40.7467824,-73.9119505,375000.0,171.68695641294232
Brokered by Amorelli Realty LLC,Pending,875000,3,2.0,2184.207862,Queens County,40.7671317,-73.9087817,291666.6666666667,400.6028982968654
Brokered by COMPASS,Co-op for sale,750000,3,2.0,2184.207862,Queens,40.7515899,-73.8865299,250000.0,343.37391282588464
Brokered by Corcoran Bedford Stuyvesant,Multi-family home for sale,1350000,3,3.0,2184.207862,Kings County,40.690647,-73.9431579,450000.0,618.0730430865924
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,27000000,5,7.0,2184.207862,New York County,40.7312282,-74.0046153,5400000.0,12361.460861731848
Brokered by COMPASS,Co-op for sale,599000,1,1.0,755.0,New York,40.7643103,-73.9913297,599000.0,793.3774834437086
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,1200000,6,3.0,2184.207862,Queens County,40.6943555,-73.8543804,200000.0,549.3982605214155
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,1200000,6,3.0,2184.207862,Queens County,40.6943555,-73.8543804,200000.0,549.3982605214155
"Brokered by Triolo Realty Group, Inc.",House for sale,749000,4,3.0,2013.0,Richmond County,40.6109749,-74.0710212,187250.0,372.0814704421262
Brokered by Keller Williams NYC,Multi-family home for sale,1900000,6,4.0,2565.0,Kings County,40.6778716,-73.9615757,316666.6666666667,740.7407407407408
Brokered by Keller Williams Realty NYC Grp,House for sale,590000,3,1.0,1360.0,Bronx County,40.8642583,-73.8414813,196666.66666666666,433.8235294117647
Brokered by COMPASS,Condo for sale,1395000,3,2.0,1494.0,New York,40.705216,-74.0085311,465000.0,933.7349397590361
Brokered by Behfar Team Llc,House for sale,3595000,6,3.0,2184.207862,Kings County,40.6108399,-73.9647401,599166.6666666666,1645.9056221454073
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,1300000,14,6.0,5103.0,Bronx County,40.8403844,-73.8478179,92857.14285714286,254.75210660395845
Brokered by Tapestry Real Estate of Queens,House for sale,868000,3,2.0,1452.0,Queens County,40.7592798,-73.7939528,289333.3333333333,597.7961432506887
Brokered by Winzone Realty Inc,Multi-family home for sale,1248000,6,3.0,2400.0,Kings County,40.5904715,-73.9441041,208000.0,520.0
Brokered by RE MAX Edge,Multi-family home for sale,1449000,7,3.0,2400.0,Kings County,40.649911,-74.007989,207000.0,603.75
Brokered by EXP Realty,Co-op for sale,338000,1,1.0,2184.207862,Queens,40.7522642,-73.8878675,338000.0,154.747176713532
NoBroker,House for sale,270000,3,2.3738608579684373,1158.0,Bronx County,40.8838997,-73.864167,90000.0,233.16062176165804
Brokered by All Century Realty,House for sale,765000,3,2.3738608579684373,2500.0,Bronx County,40.8365023,-73.8919613,255000.0,306.0
Brokered by RE/MAX Team,Pending,988000,2,2.0,2451.0,Queens County,40.7864686,-73.7971724,494000.0,403.1007751937984
Brokered by Exp Realty,Co-op for sale,339000,1,1.0,2184.207862,Queens,40.7686099,-73.74772,339000.0,155.20500859729987
"Brokered by Robert Defalco Realty, Inc.",Contingent,1099000,6,6.0,3219.0,Richmond County,40.549134,-74.142459,183166.66666666666,341.4103758931345
Brokered by Brown Harris Stevens- 3531 Johnson Avenue,Condo for sale,1181000,2,2.0,1541.0,The Bronx,40.8879309,-73.9121663,590500.0,766.3854639844257
Brokered by Goldstone N Y Realty Llc,Co-op for sale,219000,1,1.0,2184.207862,Queens County,40.7288351,-73.8169278,219000.0,100.26518254515832
Brokered by Doreen Greenwood Inc.,House for sale,588000,3,1.0,1080.0,Kings County,40.5887247,-73.9208494,196000.0,544.4444444444445
Brokered by Soler Realty,Multi-family home for sale,805000,6,2.0,2042.0,Bronx County,40.8527111,-73.9116009,134166.66666666666,394.2213516160627
Brokered by Weichert Realtors The Franzese Group,House for sale,929000,3,2.0,1309.0,Kings County,40.6174291,-73.9615134,309666.6666666667,709.7020626432391
Brokered by EXP Realty,Pending,670000,1,2.0,908.0,Queens,40.718793,-73.8365852,670000.0,737.885462555066
Brokered by City House Realty Inc.,House for sale,649000,3,2.0,1152.0,Richmond County,40.544553,-74.159323,216333.33333333334,563.3680555555555
Brokered by Douglas Elliman - Bayside,Co-op for sale,439900,2,1.0,1000.0,Queens,40.7318958,-73.8599645,219950.0,439.9
Brokered by Brown Harris Stevens,Co-op for sale,2850000,3,2.0,2184.207862,New York,40.7282135,-73.9990284,950000.0,1304.8208687383617
